t,     mx,           my,            mz
2e-10, -0.86640292, 0.49595399, 0.057964954
2.02e-10, -0.8639877, 0.50321389, -0.016890913
2.04e-10, -0.8615987, 0.49914174, -0.092138087
2.06e-10, -0.85923787, 0.48385628, -0.16606497
2.08e-10, -0.85690708, 0.4577314, -0.23701553
2.1e-10, -0.85460816, 0.42138053, -0.30342617
2.12e-10, -0.85234285, 0.37563595, -0.36385898
2.14e-10, -0.85011286, 0.32152388, -0.41703061
2.16e-10, -0.84791985, 0.26023613, -0.46183659
2.18e-10, -0.8457655, 0.19309917, -0.49737043
2.2e-10, -0.84365142, 0.12154149, -0.52293767
2.22e-10, -0.84157927, 0.047060046, -0.53806458
2.24e-10, -0.83955072, -0.028813345, -0.54250175
2.26e-10, -0.83756745, -0.104545, -0.53622276
2.28e-10, -0.83563116, -0.17863098, -0.51941817
2.3e-10, -0.83374361, -0.2496268, -0.49248523
2.32e-10, -0.83190657, -0.31617461, -0.45601389
2.34e-10, -0.83012187, -0.37702757, -0.41076932
2.36e-10, -0.82839129, -0.43107092, -0.35767195
2.38e-10, -0.82671668, -0.47733953, -0.29777498
2.4e-10, -0.82509982, -0.51503202, -0.23224053
2.42e-10, -0.82354254, -0.5435209, -0.16231454
2.44e-10, -0.82204662, -0.5623592, -0.089301215
2.46e-10, -0.8206138, -0.57128346, -0.01453745
2.48e-10, -0.81924578, -0.57021324, 0.060632386
2.5e-10, -0.81794418, -0.55924727, 0.13488063
2.52e-10, -0.81671062, -0.53865669, 0.20691933
2.54e-10, -0.81554664, -0.5088755, 0.27552165
2.56e-10, -0.81445369, -0.47048864, 0.33954131
2.58e-10, -0.81343324, -0.42421775, 0.39792994
2.6e-10, -0.8124866, -0.3709056, 0.44975217
2.62e-10, -0.81161513, -0.31149858, 0.49419818
2.64e-10, -0.81082009, -0.24702861, 0.53059387
2.66e-10, -0.81010269, -0.17859407, 0.55840832
2.68e-10, -0.80946411, -0.10734042, 0.57725888
2.7e-10, -0.80890546, -0.034440799, 0.58691362
2.72e-10, -0.80842776, 0.038923192, 0.5872914
2.74e-10, -0.80803198, 0.11158016, 0.57845975
2.76e-10, -0.80771899, 0.18238688, 0.56063036
2.78e-10, -0.80748954, 0.25024517, 0.53415276
2.8e-10, -0.80734425, 0.31411772, 0.49950607
2.82e-10, -0.80728357, 0.37304247, 0.45728915
2.84e-10, -0.80730776, 0.42614549, 0.4082093
2.86e-10, -0.80741685, 0.47265234, 0.35306972
2.88e-10, -0.80761062, 0.5118977, 0.29275595
2.9e-10, -0.80788856, 0.54333322, 0.22822157
2.92e-10, -0.80824983, 0.56653364, 0.16047316
2.94e-10, -0.80869323, 0.58120101, 0.090555041
2.96e-10, -0.80921717, 0.58716722, 0.019533693
2.98e-10, -0.80981964, 0.58439469, -0.051517808
3e-10, -0.81049822, 0.57297531, -0.12153515
3.02e-10, -0.81124998, 0.55312769, -0.18947785
3.04e-10, -0.81207154, 0.5251928, -0.25434372
3.06e-10, -0.81295906, 0.48962797, -0.31518277
3.08e-10, -0.81390819, 0.44699954, -0.37111025
3.1e-10, -0.81491411, 0.397974, -0.42131868
3.12e-10, -0.81597154, 0.34330793, -0.46508888
3.14e-10, -0.81707478, 0.28383671, -0.50179967
3.16e-10, -0.81821768, 0.22046232, -0.53093636
3.18e-10, -0.81939374, 0.15414007, -0.55209766
3.2e-10, -0.82059612, 0.085864738, -0.56500108
3.22e-10, -0.82181773, 0.016656078, -0.56948669
3.24e-10, -0.82305118, -0.052456063, -0.56551918
3.26e-10, -0.82428892, -0.12044679, -0.55318816
3.28e-10, -0.82552324, -0.18631124, -0.53270656
3.3e-10, -0.82674636, -0.24907935, -0.50440731
3.32e-10, -0.82795043, -0.30783028, -0.46873814
3.34e-10, -0.82912759, -0.36170599, -0.42625477
3.36e-10, -0.83026998, -0.40992406, -0.37761227
3.38e-10, -0.83136982, -0.45178928, -0.32355493
3.4e-10, -0.83241936, -0.48670396, -0.26490475
3.42e-10, -0.83341094, -0.51417666, -0.20254871
3.44e-10, -0.834337, -0.53382936, -0.13742481
3.46e-10, -0.83519006, -0.54540261, -0.070507627
3.48e-10, -0.83596273, -0.54875904, -0.0027930322
